mean_magnitude,std_magnitude,max_magnitude,mean_phase,std_phase,energy,range_peak,range_mean,range_std,doppler_mean,doppler_std,peak_power,median_magnitude,percentile_25,percentile_75,signal_entropy,zero_crossings,rms_value,peak_to_avg_ratio,kurtosis_value,doppler_centroid,doppler_bandwidth,doppler_symmetry,num_doppler_peaks,range_entropy,trunk_limb_ratio,cadence_period,cadence_strength,inst_freq_std,snr_db
0.000406,0.000210,0.001429,0.122014,1.830409,0.001045,273.000000,0.027741,0.014381,0.001024,2.329378,0.078355,0.000386,0.000246,0.000541,12.089281,1073.500000,0.000457,3.521382,3.146887,2032.702291,1185.624634,1.005702,0.000000,8.348995,0.054115,36.000000,0.040002,1.495245,12.768496
0.000409,0.000213,0.001395,0.034077,1.809189,0.001061,35.000000,0.028937,0.014834,-0.000649,2.316996,0.076553,0.000382,0.000246,0.000543,12.089980,1025.500000,0.000461,3.412247,3.275012,2051.166085,1173.888162,1.042147,0.000000,8.348601,0.051949,26.000000,0.043728,1.473504,12.529154
0.000404,0.000211,0.001377,-0.037086,1.858376,0.001037,251.000000,0.029057,0.014225,0.000279,2.377964,0.086347,0.000377,0.000246,0.000540,12.086765,1039.500000,0.000455,3.411415,3.096823,2059.964480,1179.156645,1.012736,0.000000,8.372671,0.049447,5.000000,0.063500,1.481625,12.852225
0.000396,0.000207,0.001365,0.062247,1.895175,0.000997,99.000000,0.028286,0.014738,-0.000367,2.457163,0.085313,0.000371,0.000238,0.000522,12.088107,1067.000000,0.000447,3.449658,3.371214,2049.231215,1182.215824,1.025658,0.000000,8.346939,0.051252,21.000000,0.035064,1.520538,12.546976
0.000399,0.000211,0.001331,0.187938,1.745278,0.001020,164.000000,0.026229,0.014015,-0.000894,2.262876,0.070260,0.000369,0.000244,0.000533,12.083055,1065.000000,0.000452,3.332432,3.351416,2089.245257,1184.387437,1.003871,0.000000,8.330769,0.048712,93.000000,0.026269,1.506115,12.886852
0.000243,0.000263,0.001511,0.109678,1.405619,0.000639,324.000000,0.021936,0.011319,-0.000142,1.803010,0.066960,0.000193,0.000000,0.000432,11.317084,583.000000,0.000357,6.225362,2.971610,2071.992457,1184.861214,0.964483,0.000000,8.350524,0.050932,0.000000,0.000000,1.101584,31.064997
0.000393,0.000205,0.001283,-0.020625,1.832297,0.000983,218.000000,0.028248,0.015142,0.000571,2.374413,0.088534,0.000369,0.000238,0.000522,12.085574,1048.500000,0.000443,3.265674,3.165665,2066.585577,1192.029653,0.979634,0.000000,8.335613,0.056558,38.000000,0.043949,1.508408,12.984101
0.000538,0.000383,0.002417,0.180645,1.876883,0.002181,169.000000,0.036211,0.019533,-0.000928,2.551620,0.104187,0.000433,0.000276,0.000678,11.961615,1267.000000,0.000660,4.493495,4.983714,2087.834503,1176.385699,0.980704,0.000000,8.335255,0.049753,20.000000,0.437162,1.790522,15.244054
0.000406,0.000210,0.001351,-0.033193,1.771966,0.001047,301.000000,0.027986,0.014013,0.000000,2.285400,0.078491,0.000382,0.000246,0.000541,12.089654,1024.500000,0.000458,3.326112,3.153023,2077.224785,1185.623481,1.000689,0.000000,8.357187,0.047307,60.000000,0.026373,1.487872,12.869518
0.000398,0.000210,0.001298,0.050552,1.827740,0.001015,49.000000,0.027515,0.014590,0.000600,2.329044,0.074740,0.000371,0.000238,0.000527,12.083020,1073.000000,0.000451,3.258577,3.267928,2082.615893,1180.441197,0.993259,0.000000,8.338871,0.050400,25.000000,0.050212,1.501140,12.815276
0.000400,0.000211,0.001373,-0.084725,1.819177,0.001023,107.000000,0.028720,0.015844,-0.000909,2.332586,0.079996,0.000373,0.000244,0.000525,12.086557,1038.000000,0.000452,3.431306,3.448155,2041.844469,1187.166885,0.981326,0.000000,8.320873,0.055515,29.000000,0.040031,1.494777,12.581464
0.000453,0.000250,0.001554,0.034998,1.834747,0.001336,287.000000,0.030624,0.015580,0.000041,2.476602,0.080263,0.000415,0.000263,0.000601,12.067420,1248.000000,0.000517,3.433937,3.552642,2065.182686,1180.728029,0.969317,0.000000,8.345605,0.048017,104.000000,0.089926,1.702554,13.534126
0.000411,0.000214,0.001355,-0.146801,1.865288,0.001072,338.000000,0.028215,0.015764,-0.001065,2.436895,0.074335,0.000386,0.000246,0.000550,12.088045,1020.000000,0.000463,3.301295,3.171815,2039.231369,1179.229494,1.022920,0.000000,8.316139,0.048781,3.000000,0.067698,1.489046,12.747250
0.000407,0.000215,0.001447,0.015781,1.792397,0.001060,355.000000,0.028631,0.014287,0.000530,2.302906,0.083136,0.000382,0.000246,0.000540,12.084657,1017.500000,0.000460,3.553492,3.433702,2055.003632,1174.792405,1.010970,0.000000,8.357207,0.051779,79.000000,0.045018,1.475556,12.803682
0.000437,0.000236,0.001748,-0.021658,1.736905,0.001235,88.000000,0.033427,0.016782,-0.000062,2.372572,0.096853,0.000409,0.000261,0.000583,12.074967,1197.500000,0.000497,3.995759,3.488461,2019.430597,1175.297229,1.032859,0.000000,8.356251,0.056983,32.000000,0.094148,1.682632,13.385636
0.000417,0.000218,0.001455,0.107642,1.772306,0.001109,94.000000,0.027298,0.015192,-0.000270,2.274497,0.078076,0.000391,0.000252,0.000553,12.088140,980.500000,0.000471,3.485043,3.409140,2069.662791,1178.625950,0.968444,0.000000,8.320106,0.049098,33.000000,0.035726,1.447928,12.599034
0.000404,0.000212,0.001547,0.039486,1.936593,0.001040,179.000000,0.028263,0.015768,0.000052,2.467550,0.098409,0.000377,0.000244,0.000541,12.084082,1066.000000,0.000456,3.833402,3.342975,2039.189373,1180.907804,0.990106,0.000000,8.326581,0.053317,60.000000,0.022991,1.507529,12.984228
0.000410,0.000218,0.001597,0.177704,1.772267,0.001079,112.000000,0.027276,0.014318,-0.000943,2.296002,0.086858,0.000386,0.000246,0.000543,12.081927,1072.500000,0.000464,3.892409,3.401438,2076.832744,1187.838847,0.978911,0.000000,8.341467,0.050752,24.000000,0.060140,1.525695,12.906687
0.000399,0.000203,0.001247,-0.009761,1.869418,0.001000,8.000000,0.029391,0.014808,0.000261,2.397532,0.076409,0.000373,0.000246,0.000522,12.098048,1068.500000,0.000447,3.126906,3.195979,2053.786399,1187.033663,1.013078,0.000000,8.357660,0.058258,108.000000,0.037346,1.521703,12.278327
0.000396,0.000209,0.001228,0.064924,1.819206,0.001003,240.000000,0.030199,0.015435,-0.000370,2.327339,0.101061,0.000367,0.000238,0.000533,12.083698,1071.000000,0.000448,3.100310,2.996974,2028.426169,1188.596404,1.009309,0.000000,8.350762,0.056166,43.000000,0.025663,1.515715,12.850858
0.000406,0.000211,0.001367,0.169565,1.795432,0.001046,84.000000,0.026567,0.013778,-0.001104,2.330343,0.077683,0.000382,0.000246,0.000534,12.087914,1027.000000,0.000457,3.367205,3.243070,2071.188589,1180.227918,0.990009,0.000000,8.344938,0.046797,59.000000,0.027639,1.491456,12.953497
